uri,p_only_one_counter,p_multy_objs_same_type_counter,p_objs_unique_type_counter,p_has_primitive_type,tag
http://dbpedia.org/property/partner,0.022977023,0,0,0.977022977,1
http://dbpedia.org/property/residence,0.010989011,0.001998002,0.000999001,0.986013986,1
http://dbpedia.org/property/education,0.095904096,0.016983017,0.00999001,0.877122877,1
http://dbpedia.org/property/party,0.008991009,0.005994006,0.000999001,0.984015984,1
http://dbpedia.org/property/team,0.031968032,0.033966034,0.001998002,0.932067932,1
http://dbpedia.org/property/spouse,0.005994006,0,0,0.994005994,1
http://dbpedia.org/property/employer,0.024975025,0,0.000999001,0.974025974,1
http://dbpedia.org/property/position,0.064935065,0.001998002,0.001998002,0.931068931,1
http://dbpedia.org/property/doctoralAdvisor,0.004995005,0,0,0.995004995,0
http://dbpedia.org/property/league,0.015984016,0.002997003,0,0.981018981,0
http://dbpedia.org/property/religion,0.037962038,0,0.001998002,0.96003996,0
http://dbpedia.org/property/rank,0.065934066,0,0.006993007,0.927072927,0
http://dbpedia.org/property/placeOfBurial,0.008991009,0,0,0.991008991,0
http://dbpedia.org/property/playerPositions,0.614385614,0.031968032,0.088911089,0.264735265,0
http://dbpedia.org/property/discipline,0.055944056,0.000999001,0.000999001,0.942057942,0
http://dbpedia.org/property/birthPlace,0.061938062,0.047952048,0.00999001,0.88011988,0
http://dbpedia.org/property/country,0.000999001,0,0,0.999000999,0
http://dbpedia.org/property/relatives,0.040959041,0.017982018,0.000999001,0.94005994,0
http://dbpedia.org/property/knownFor,0.006993007,0.002997003,0.001998002,0.988011988,0
http://dbpedia.org/property/nobleFamily,0.53046953,0.000999001,0.004995005,0.463536464,0
http://dbpedia.org/property/allegiance,0.003996004,0,0.000999001,0.995004995,0
http://dbpedia.org/property/language,0.015984016,0.003996004,0.000999001,0.979020979,0
http://dbpedia.org/property/citizenship,0.06993007,0.007992008,0.000999001,0.921078921,0
http://dbpedia.org/property/deathPlace,0.113886114,0.040959041,0.015984016,0.829170829,0
http://dbpedia.org/property/movement,0.040959041,0.004995005,0.002997003,0.951048951,0
http://dbpedia.org/property/lastfor,0.596403596,0.016983017,0.012987013,0.373626374,-1
http://dbpedia.org/property/awards,0.045954046,0.031968032,0.00999001,0.912087912,-1
http://dbpedia.org/property/deputy,0.046953047,0.001998002,0.001998002,0.949050949,-1
http://dbpedia.org/property/event,0.264735265,0.040959041,0.010989011,0.683316683,-1
http://dbpedia.org/property/ethnicity,0.113886114,0.000999001,0,0.885114885,-1
http://dbpedia.org/property/creator,0.263736264,0.020979021,0.000999001,0.714285714,-1
http://dbpedia.org/property/monarch,0.003996004,0,0,0.996003996,-1
http://dbpedia.org/property/unit,0.001998002,0,0,0.998001998,-1
http://dbpedia.org/property/nationalteam,0.112887113,0.114885115,0,0.772227772,-1
http://dbpedia.org/property/relations,0.005994006,0,0,0.994005994,-1
http://dbpedia.org/property/playedFor,0,0,0,1,-1
http://dbpedia.org/property/coachTeam,0.178821179,0.258741259,0.503496503,0.058941059,-1
http://dbpedia.org/property/consecratedBy,0.584415584,0.017982018,0.006993007,0.390609391,-1
http://dbpedia.org/property/associatedActs,0,0.001998002,0,0.998001998,-1
http://dbpedia.org/property/schoolTradition,0.206793207,0.008991009,0.006993007,0.777222777,-1
http://dbpedia.org/property/office,0.010989011,0.001998002,0.006993007,0.98001998,-1
http://dbpedia.org/property/nationality,0.014985015,0.000999001,0,0.984015984,-1
http://dbpedia.org/property/type,0.055944056,0,0.011988012,0.932067932,-1
http://dbpedia.org/property/district,0.007992008,0.003996004,0,0.988011988,-1
http://dbpedia.org/property/ruNationalteam,0.582417582,0.097902098,0.107892108,0.211788212,-1
http://dbpedia.org/property/predecessor,0.158841159,0.11988012,0.016983017,0.704295704,-1
